Code,Name,Description
FR1,Elementary French,"Introductory course for students with no prior exposure to French. Grammar, vocabulary, speaking, reading, and writing taught entirely in French through interactive presentations and activities. Exposure to French and Francophone culture is a hallmar..."
FR100,Advanced Composition,"Transitional course between lower-division language and upper-division literature/advanced culture courses. Students develop their writing and speaking skills through the study of contemporary French and Francophone literature, art and film. Includes..."
FR101A,Foundations of French and Francophone Culture,"An introductory, interdisciplinary approach to the literary and cultural history of France and Francophone world from the Middle Ages and the Renaissance. Readings of poetry, drama, and fiction. Focus on advanced discussion and writing in French."
FR101B,Foundations of French and Francophone Culture,"An introductory, interdisciplinary approach to the literary and cultural history of France and Francophone world from the seventeenth century and the Enlightenment. Readings of poetry, drama, and fiction. Focus on advanced discussion and writing in F..."
FR101C,Foundations of French and Francophone Culture,"An introductory, interdisciplinary approach to the literary and cultural history of France and the Francophone world from the nineteenth to the twenty-first century. Readings of poetry, drama, and fiction. Focus on advanced discussion and writing in..."
FR104A,Expository Writing,"Course focuses on enhancing students' analytical skills through an examination of French rhetorical and argumentative modes. Reading of expository writing in literature, journalistic essays, political and philosophical works. Organized around such th..."
FR104B,Writing the Self,"Readings in twentieth-century autobiography serving as models for creative writing. Coursework involves analysis of literary works and a long-term ""autobiographical project"" that may be factual or fictionalized."
FR104C,Advanced French Grammar,"Designed to provide a thorough review of the rules of French grammar and to situate the discussions within a linguistic context, covering topics such as linguistic signs and structure, semantics, syntax, and morphology."
FR104D,Problems in French Linguistics,A few selected problems in the linguistic analysis of French are studied in depth. The specialized focus changes from year to year. Lectures and readings in French.
FR104E,Business French 1,"Study of specific vocabulary, formulae, and writing strategies useful for individual career objectives in the business world. Students will acquire a foundation in contemporary business and professional French, developed through the analysis and appl..."
FR104F,Business French 2,"Students study essential aspects of the conduct of business in France, as well as specific features of the French language, both spoken and written, commonly encountered in business practice. Prepares students to take the (optional) competency exam f..."
FR106,Conversational French,"Concurrently offered with French 116A, this two-unit version offers ongoing opportunities to speak French. Students prepare the oral and written work (interviews, readings/videos, short quizzes, assiduous class participation), but are dispensed from..."
FR107X,Second Language Acquisition,"An introduction to the theories and principles of how adults acquire a language other than their mother tongue; why it is more difficult than acquiring their first language, and what needs to be learned from linguistic, psychological and social persp..."
FR10B,Biological Topics in French,"Introduces students of French with an interest in the biological sciences to the vocabulary and discursive conventions necessary to communicate effectively with French speakers in the life sciences, including medicine. Students work in groups on a co..."
FR110,Rhetoric of Social Change,"From a transhistorical perspective (medieval to modern times), the study and analysis of French and Francophone authors who sought to change the world through their writings (political, legal, journalistic, literary, educational, etc.). In French."
FR111,Greatest French Speeches,"Rhetorical analysis of the history, theory, and practice of public speaking in France through texts and videos of great speeches that shaped French and Francophone culture (and beyond). Students also practice delivering their own speeches. In French."
